id,name,description,brand,category,subscription_category,age_range,retail_price,rental_price,available_quantity,total_quantity,image_url,sku,created_at
6dfc70e5-c1de-4096-a457-d4a5ef41d6c7, Air Soccer Goal Set,"NDOOR SOCCER SET: Complete air soccer goal set with a hovering ball that floats on smooth surfaces using air cushion technology, perfect for indoor play
LED LIGHTING: Features colourful LED lights that activate during play, enhancing the gaming experience and visual excitement
SAFE DESIGN: Protective foam bumpers on the ball prevent damage to furniture and walls while providing excellent rebound action
VERSATILE PLAY: Suitable for any smooth, hard surface like wooden floors or tiles, allowing children to create their indoor football pitch
SPECIFICATIONS: Includes goal set measuring 49 x 24 x 33 cm and requires 4 AA BATTERIES Battery not included for operation, recommended for ages 5 and above",,big_toys,big_toys,"[""4-6 years"",""6-8 years""]",2999,0,1,3,,,2025-08-04T09:58:27.035044+00:00
b65b064b-8c0c-4c76-a153-0764c0a56fa1,2-in-1 Musical Jam Playmat,"2-in-1 Musical Fun – Combines a piano keyboard and drum sounds for an engaging musical experience. Interactive Sound Play – Touch-sensitive keys & drum pads produce real instrument sounds for creative play. Educational & Stimulating – Helps develop auditory skills, hand-eye coordination, and rhythm recognition. Vibrant & Kid-Friendly Design – Multi-colored playmat with fun graphics, lights, and cheerful tunes. Perfect Gift for Kids – Great for newborns, toddlers, and young children to explore music & creativity!",,big_toys,big_toys,"[""6m-2 years"",""2-3 years""]",3599,899,2,10,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217233661-2_in_1_Musical_Jam_Playmat.png,,2025-06-18T03:27:13.919498+00:00
feca3f78-30ad-4ba0-9306-854ce8f07c90,Air Hockey,"Air Hockey: This toy is designed to engage and develop essential skills in kids. At Toyflix, we make it easy to rent this toy with doorstep delivery and affordable pricing. Rent Air Hockey now and give your child a fun and educational playtime. Air Hockey is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. Air Hockey is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. Air Hockey is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. Air Hockey is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings.",,big_toys,big_toys,"[""4-6 years"",""6-8 years"",""4-6 years"",""6-8 years""]",6100,1525,1,10,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/air-hockey/primary.jpg,,2025-06-18T03:26:28.182727+00:00
7573d518-1f5a-4f8d-8ee2-1e04eeedd65e,Archery Bow and Arrow with Target,"COMPLETE SET: Includes a light-up bow with LED effects, 6 safety-tipped arrows, sturdy target board, and convenient quiver for storage LIGHT-UP FEATURE: Vibrant green LED lights on the bow add excitement and visual appeal during play TARGET PRACTICE: Detailed scoring target board with multiple point zones from 10 to 75 helps develop accuracy and precision SAFE DESIGN: Specially designed arrows with soft tips and child-friendly bow construction ensure safe play STORAGE SOLUTION: Included grey and orange quiver keeps arrows organised and easily accessible during practice",,big_toys,big_toys,"[""3-4 years"",""4-6 years"",""6-8 years""]",3399,0,0,2,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217240718-Archery_Bow_and_Arrow_with_Target.png,,2025-06-18T03:27:21.095174+00:00
9a028340-4fac-4def-96fe-027b0a31e2fb,Baby Car Seat for Kids,"Baby Car Seat for Kids: This toy is designed to engage and develop essential skills in kids. At Toyflix, we make it easy to rent this toy with doorstep delivery and affordable pricing. Rent Baby Car Seat for Kids now and give your child a fun and educational playtime. Baby Car Seat for Kids is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. Baby Car Seat for Kids is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. Baby Car Seat for Kids is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. Baby Car Seat for Kids is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings.",,big_toys,big_toys,1-2 years,10099,2524,1,1,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217227039-Baby_Car_Seat_for_Kids.webp,,2025-06-18T03:27:07.556287+00:00
12ba7b5e-3b63-46d2-b59d-d5ab73f7b612,Baby Gym Piano,"Baby Gym Piano: This toy is designed to engage and develop essential skills in kids. At Toyflix, we make it easy to rent this toy with doorstep delivery and affordable pricing. Rent Baby Gym Piano now and give your child a fun and educational playtime. Baby Gym Piano is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. Baby Gym Piano is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. Baby Gym Piano is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings.",,big_toys,big_toys,"[""1-2 years""]",1999,499,5,8,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217223769-Baby_Gym_Piano.webp,,2025-06-18T03:27:04.015493+00:00
ea1b6702-713f-4a9b-8900-425999c638b6,Balance Bike Toddler Training Cycle,"Suitable for 24 months and upward child.
Helps to develop balance, confidence and coordination for kid by riding this bicycle
Adjustable Seat to meet your children's need
No pedal design helps children to learn bicycle skills.
Designed as the perfect first bike to cultivate two-wheel balancing ability.
Practice Balancing here fosters confidence and reduces fear, ensuring an easy move to pedal bikes.
Equipped with adjustable handlebars and seat to suit growing children.
Features a robust metal frame and anti-puncture EVA wheels for any surface.",,big_toys,big_toys,"[""3-4 years""]",1499,0,0,3,,,2026-02-24T06:05:01.701824+00:00
ece03697-b638-4389-af06-1056b8a1872a,Baybee 2 in 1 Baby High Chair for Kids,"Versatile Growth Companion: The Baybee 2-in-1 Clento Baby High Chair is ingeniously designed to adjust to two different height settings, catering to your baby's growth from the early stages at 6 months to a bustling toddler at 3 years. It evolves with your child, ensuring you don’t need to keep buying new seats as they grow Enhanced Safety Features: We prioritize your child's safety; that's why the Clento Baby Chair comes with an anti-slip footrest that prevents your child’s feet from sliding and a reliable 3-point safety belt that secures them snugly in place, making mealtime not just safe but also worry-free Entertainment On The Tray: Mealtime can now be fun time with our high chair's removable tray that includes a mobile stand. It’s designed to hold toys or a mobile device, keeping your little one happily entertained as they eat, and it’s just a quick wipe away from clean Comfort in Every Seat: Our baby feeding chair doesn’t compromise on comfort, thanks to the soft cushion seat that welcomes your baby like a warm hug. It's perfect for prolonged sitting and is gentle on your baby’s skin, making it a cozy nook for both eating and playing. Colours are subject to availability.",,big_toys,big_toys,"[""1-2 years""]",2999,749,5,6,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217222200-Baybee_2_in_1_Baby_High_Chair_for_Kids.jpg,,2025-06-18T03:27:02.481104+00:00
506dc5e2-1c6b-4021-8e5c-ee42ed70893f,Baybee 2 in 1 Baby Push Walker,"The Baybee 2-in-1 Baby Push Walker & Shopping Cart is designed to help toddlers take their first steps confidently while doubling as a toy storage cart for endless pretend play. With a sturdy grip handle, it provides a secure walking experience, improving balance and coordination for kids 2+ years.",,big_toys,big_toys,"[""1-2 years""]",1299,324,1,1,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217232588-Baybee_2_in_1_Baby_Push_Walker.png,,2025-06-18T03:27:12.792141+00:00
93f893c8-ede0-4f8b-a80d-1e06966d1f0e,Baybee Actro Tricycle with Parental Push Handle,"Baybee Actro Tricycle with Parental Push Handle: This toy is designed to engage and develop essential skills in kids. At Toyflix, we make it easy to rent this toy with doorstep delivery and affordable pricing. Rent Baybee Actro Tricycle with Parental Push Handle now and give your child a fun and educational playtime. Baybee Actro Tricycle with Parental Push Handle is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. Baybee Actro Tricycle with Parental Push Handle is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. Baybee Actro Tricycle with Parental Push Handle is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. Please note this tricycle doesn't come seatbelt from the manufacturer",,big_toys,big_toys,"[""1-2 years"",""2-3 years""]",4000,1000,3,20,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/baybee-actro-tricycle-with-parental-push-handle/primary.jpg,,2025-06-18T03:26:23.20329+00:00
